(+)-camphor biosynthetic process	GO:0046211	(+)-camphor catabolic process	GO:0019383
dephosphorylation	GO:0016311	phosphorylation	GO:0016310
depsipeptide biosynthetic process	GO:0050763	depsipeptide catabolic process	GO:0050762
dermatan sulfate biosynthetic process	GO:0030208	dermatan sulfate catabolic process	GO:0030209
detection of cold stimulus involved in thermoception	GO:0120169	detection of hot stimulus involved in thermoception	GO:0120168
detection of high humidity stimulus involved in sensory perception	GO:0098514	detection of low humidity stimulus involved in sensory perception	GO:0098515
detection of high humidity	GO:0098516	detection of low humidity	GO:0098517
determinate inflorescence morphogenesis	GO:0048282	indeterminate inflorescence morphogenesis	GO:0048283
determination of dorsal identity	GO:0048263	determination of ventral identity	GO:0048264
development of primary female sexual characteristics	GO:0046545	development of secondary female sexual characteristics	GO:0046543
development of primary male sexual characteristics	GO:0046546	development of secondary male sexual characteristics	GO:0046544
development of primary sexual characteristics	GO:0045137	development of secondary sexual characteristics	GO:0045136
dgdp biosynthetic process	GO:0006185	dgdp catabolic process	GO:0046067
dgmp biosynthetic process	GO:0006181	dgmp catabolic process	GO:0046055
dgtp biosynthetic process	GO:0046071	dgtp catabolic process	GO:0006203
diacylglycerol biosynthetic process	GO:0006651	diacylglycerol catabolic process	GO:0046340
diadenosine polyphosphate biosynthetic process	GO:0015960	diadenosine polyphosphate catabolic process	GO:0015961
diadenosine tetraphosphate biosynthetic process	GO:0015966	diadenosine tetraphosphate catabolic process	GO:0015967
diadenosine triphosphate biosynthetic process	GO:0015963	diadenosine triphosphate catabolic process	GO:0015964
dicarboxylic acid biosynthetic process	GO:0043650	dicarboxylic acid catabolic process	GO:0043649
diol biosynthetic process	GO:0034312	diol catabolic process	GO:0034313
diorcinol biosynthetic process	GO:1900572	diorcinol catabolic process	GO:1900571
disaccharide biosynthetic process	GO:0046351	disaccharide catabolic process	GO:0046352
discadenine biosynthetic process	GO:0034268	discadenine catabolic process	GO:0034269
dishabituation	GO:0097270	habituation	GO:0046959
diterpenoid biosynthetic process	GO:0016102	diterpenoid catabolic process	GO:0016103
dna biosynthetic process	GO:0071897	dna catabolic process	GO:0006308
dopamine biosynthetic process	GO:0042416	dopamine catabolic process	GO:0042420
dorsal aorta development	GO:0035907	ventral aorta development	GO:0035908
dorsal aorta morphogenesis	GO:0035912	ventral aorta morphogenesis	GO:0035913
dorsal cochlear nucleus development	GO:0021748	ventral cochlear nucleus development	GO:0021749
dorsal spinal cord development	GO:0021516	ventral spinal cord development	GO:0021517
dtdp biosynthetic process	GO:0006233	dtdp catabolic process	GO:0006246
dtmp biosynthetic process	GO:0006231	dtmp catabolic process	GO:0046074
dttp biosynthetic process	GO:0006235	dttp catabolic process	GO:0046076
dudp biosynthetic process	GO:0006227	dudp catabolic process	GO:0006257
dump biosynthetic process	GO:0006226	dump catabolic process	GO:0046079
dutp biosynthetic process	GO:0006229	dutp catabolic process	GO:0046081
early distal convoluted tubule development	GO:0072067	late distal convoluted tubule development	GO:0072068
early endosome to golgi transport	GO:0034498	late endosome to golgi transport	GO:0034499
early meiotic recombination nodule assembly	GO:0042139	late meiotic recombination nodule assembly	GO:0042140
early stripe melanocyte differentiation	GO:0050933	late stripe melanocyte differentiation	GO:0050934
early viral transcription	GO:0019085	late viral transcription	GO:0019086
ecdysone biosynthetic process	GO:0006697	ecdysone catabolic process	GO:0006708
ecdysteroid biosynthetic process	GO:0045456	ecdysteroid catabolic process	GO:0046344
ecgonine methyl ester biosynthetic process	GO:1901869	ecgonine methyl ester catabolic process	GO:1901868
ecgonone methyl ester biosynthetic process	GO:1901872	ecgonone methyl ester catabolic process	GO:1901871
ectoine biosynthetic process	GO:0019491	ectoine catabolic process	GO:0042400
elastin biosynthetic process	GO:0051542	elastin catabolic process	GO:0060309
emericellamide a biosynthetic process	GO:1900617	emericellamide a catabolic process	GO:1900616
emericellamide biosynthetic process	GO:1900557	emericellamide catabolic process	GO:1900556
emericellin biosynthetic process	GO:1900766	emericellin catabolic process	GO:1900765
emodin biosynthetic process	GO:1900575	emodin catabolic process	GO:1900574
endocrocin biosynthetic process	GO:1900602	endocrocin catabolic process	GO:1900601
ent-pimara-8(14),15-diene biosynthetic process	GO:1901541	ent-pimara-8(14),15-diene catabolic process	GO:1901540
enterobactin biosynthetic process	GO:0009239	enterobactin catabolic process	GO:0046214
envenomation resulting in negative regulation of acid-sensing ion channel activity in other organism	GO:0044735	envenomation resulting in positive regulation of acid-sensing ion channel activity in other organism	GO:0044734
envenomation resulting in negative regulation of blood coagulation in other organism	GO:0044470	envenomation resulting in positive regulation of blood coagulation in other organism	GO:0044469
envenomation resulting in negative regulation of blood pressure in other organism	GO:0044500	envenomation resulting in positive regulation of blood pressure in other organism	GO:0044499
envenomation resulting in negative regulation of cell migration in other organism	GO:0044625	envenomation resulting in positive regulation of cell migration in other organism	GO:0044626
envenomation resulting in negative regulation of complement activation, alternative pathway in other organism	GO:0044644	envenomation resulting in positive regulation of complement activation, alternative pathway in other organism	GO:0044643
envenomation resulting in negative regulation of complement activation, classical pathway in other organism	GO:0044637	envenomation resulting in positive regulation of complement activation, classical pathway in other organism	GO:0044638
envenomation resulting in negative regulation of complement activation, lectin pathway in other organism	GO:0044640	envenomation resulting in positive regulation of complement activation, lectin pathway in other organism	GO:0044641
envenomation resulting in negative regulation of high voltage-gated calcium channel activity in other organism	GO:0044475	envenomation resulting in negative regulation of low voltage-gated calcium channel activity in other organism	GO:0044476
envenomation resulting in negative regulation of platelet aggregation in other organism	GO:0044477	envenomation resulting in positive regulation of platelet aggregation in other organism	GO:0044478
envenomation resulting in negative regulation of voltage-gated sodium channel activity in other organism	GO:0044493	envenomation resulting in positive regulation of voltage-gated sodium channel activity in other organism	GO:0044494
epinephrine biosynthetic process	GO:0042418	epinephrine catabolic process	GO:0042419
ergosteryl 3-beta-d-glucoside biosynthetic process	GO:1904463	ergosteryl 3-beta-d-glucoside catabolic process	GO:1904462
ergot alkaloid biosynthetic process	GO:0035837	ergot alkaloid catabolic process	GO:1900806
ergothioneine biosynthetic process	GO:0052699	ergothioneine catabolic process	GO:0052700
erythromycin biosynthetic process	GO:1901115	erythromycin catabolic process	GO:1901114
erythrose 4-phosphate/phosphoenolpyruvate family amino acid biosynthetic process	GO:1902223	erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process	GO:1902222
estrogen biosynthetic process	GO:0006703	estrogen catabolic process	GO:0006711
ethanol biosynthetic process	GO:0006115	ethanol catabolic process	GO:0006068
ethanolamine biosynthetic process	GO:0046335	ethanolamine catabolic process	GO:0046336
ether biosynthetic process	GO:1901503	ether catabolic process	GO:1901502
ethylene biosynthetic process	GO:0009693	ethylene catabolic process	GO:0042457
eugenol biosynthetic process	GO:0042855	eugenol catabolic process	GO:0042856
export across plasma membrane	GO:0140115	import across plasma membrane	GO:0098739
extracellular polysaccharide biosynthetic process	GO:0045226	extracellular polysaccharide catabolic process	GO:0071999
eye pigment biosynthetic process	GO:0006726	eye pigment catabolic process	GO:0046151
f-9775a biosynthetic process	GO:1900611	f-9775a catabolic process	GO:1900610
f-9775b biosynthetic process	GO:1900614	f-9775b catabolic process	GO:1900613
farnesol biosynthetic process	GO:0006715	farnesol catabolic process	GO:0016488
farnesyl diphosphate biosynthetic process	GO:0045337	farnesyl diphosphate catabolic process	GO:0045339
fast endocytic recycling	GO:0032457	slow endocytic recycling	GO:0032458
fast, calcium ion-dependent exocytosis of neurotransmitter	GO:0098746	slow, calcium ion-dependent exocytosis of neurotransmitter	GO:0098747
fast-twitch skeletal muscle fiber contraction	GO:0031443	slow-twitch skeletal muscle fiber contraction	GO:0031444
fat-soluble vitamin biosynthetic process	GO:0042362	fat-soluble vitamin catabolic process	GO:0042363
fatty acid beta-oxidation, unsaturated, even number	GO:0033542	fatty acid beta-oxidation, unsaturated, odd number	GO:0033541
fatty acid biosynthetic process	GO:0006633	fatty acid catabolic process	GO:0009062
fatty acid derivative biosynthetic process	GO:1901570	fatty acid derivative catabolic process	GO:1901569
fatty acid primary amide biosynthetic process	GO:0062112	fatty acid primary amide catabolic process	GO:0062127
fatty alcohol biosynthetic process	GO:1903175	fatty alcohol catabolic process	GO:1903174
fatty-acyl-coa biosynthetic process	GO:0046949	fatty-acyl-coa catabolic process	GO:0036115
female germ-line sex determination	GO:0019099	female somatic sex determination	GO:0019101
ferulate biosynthetic process	GO:0033495	ferulate catabolic process	GO:1901067
flavin adenine dinucleotide biosynthetic process	GO:0072388	flavin adenine dinucleotide catabolic process	GO:0072389
flavin-containing compound biosynthetic process	GO:0042727	flavin-containing compound catabolic process	GO:0042728
flavonoid biosynthetic process	GO:0009813	flavonoid catabolic process	GO:0046275
flavonoid phytoalexin biosynthetic process	GO:0009716	flavonoid phytoalexin catabolic process	GO:0046286
fmn biosynthetic process	GO:0009398	fmn catabolic process	GO:0032363
folic acid biosynthetic process	GO:0046656	folic acid catabolic process	GO:0046657
folic acid-containing compound biosynthetic process	GO:0009396	folic acid-containing compound catabolic process	GO:0009397
fonsecin biosynthetic process	GO:1900769	fonsecin catabolic process	GO:1900768
formaldehyde biosynthetic process	GO:0046293	formaldehyde catabolic process	GO:0046294
formamide biosynthetic process	GO:0043607	formamide catabolic process	GO:0043608
formate biosynthetic process	GO:0015943	formate catabolic process	GO:0042183
fructan biosynthetic process	GO:0010146	fructan catabolic process	GO:0010147
fructosamine biosynthetic process	GO:0030391	fructosamine catabolic process	GO:0030392
fructose biosynthetic process	GO:0046370	fructose catabolic process	GO:0006001
fructoselysine biosynthetic process	GO:1901282	fructoselysine catabolic process	GO:1901281
fucose biosynthetic process	GO:0042353	fucose catabolic process	GO:0019317
fumagillin biosynthetic process	GO:1902086	fumagillin catabolic process	GO:1902085
fumigaclavine c biosynthetic process	GO:1900809	fumigaclavine c catabolic process	GO:1900808
fumiquinazoline a biosynthetic process	GO:1900778	fumiquinazoline a catabolic process	GO:1900777
fumiquinazoline biosynthetic process	GO:1900775	fumiquinazoline catabolic process	GO:1900774
fumiquinazoline c biosynthetic process	GO:1900781	fumiquinazoline c catabolic process	GO:1900780
fumiquinazoline f biosynthetic process	GO:1900784	fumiquinazoline f catabolic process	GO:1900783
fumitremorgin b biosynthetic process	GO:1900772	fumitremorgin b catabolic process	GO:1900771
fumonisin biosynthetic process	GO:1900541	fumonisin catabolic process	GO:1900540
funalenone biosynthetic process	GO:1901366	funalenone catabolic process	GO:1901365
galactarate biosynthetic process	GO:0046357	galactarate catabolic process	GO:0046392
galactitol biosynthetic process	GO:0019403	galactitol catabolic process	GO:0019404
galactolipid biosynthetic process	GO:0019375	galactolipid catabolic process	GO:0019376
galactomannan biosynthetic process	GO:0051070	galactomannan catabolic process	GO:0051682
galactosaminoglycan biosynthetic process	GO:0006025	galactosaminoglycan catabolic process	GO:0006028
galactose biosynthetic process	GO:0046369	galactose catabolic process	GO:0019388
galactosylceramide biosynthetic process	GO:0006682	galactosylceramide catabolic process	GO:0006683
galacturonate biosynthetic process	GO:0033481	galacturonate catabolic process	GO:0046397
gamma-aminobutyric acid biosynthetic process	GO:0009449	gamma-aminobutyric acid catabolic process	GO:0009450
ganglioside biosynthetic process	GO:0001574	ganglioside catabolic process	GO:0006689
gdp biosynthetic process	GO:0046711	gdp catabolic process	GO:0046712
gentamycin biosynthetic process	GO:1901130	gentamycin catabolic process	GO:1901129
geraniol biosynthetic process	GO:1903448	geraniol catabolic process	GO:1903447
geranylgeranyl diphosphate biosynthetic process	GO:0033386	geranylgeranyl diphosphate catabolic process	GO:1902247
gerfelin biosynthetic process	GO:1900578	gerfelin catabolic process	GO:1900577
germ-line processes downstream of sex determination signal	GO:0007547	somatic processes downstream of sex determination signal	GO:0007546
germ-line sex determination	GO:0018992	somatic sex determination	GO:0018993
germ-line stem cell division	GO:0042078	somatic stem cell division	GO:0048103
germ-line stem cell population maintenance	GO:0030718	somatic stem cell population maintenance	GO:0035019
gibberellin biosynthetic process	GO:0009686	gibberellin catabolic process	GO:0045487
gliotoxin biosynthetic process	GO:2001310	gliotoxin catabolic process	GO:2001309
glucan biosynthetic process	GO:0009250	glucan catabolic process	GO:0009251
glucarate biosynthetic process	GO:0019393	glucarate catabolic process	GO:0019394
glucocorticoid biosynthetic process	GO:0006704	glucocorticoid catabolic process	GO:0006713
glucosamine biosynthetic process	GO:0006042	glucosamine catabolic process	GO:0006043
glucosamine-containing compound biosynthetic process	GO:1901073	glucosamine-containing compound catabolic process	GO:1901072
glucosinolate biosynthetic process	GO:0019761	glucosinolate catabolic process	GO:0019762
glucosylceramide biosynthetic process	GO:0006679	glucosylceramide catabolic process	GO:0006680
